ID,Visitor,Date,Status
1,stagiare,2025-07-02T23:00,APPROVED
33,stagiare,2025-07-03T23:00,PENDING
34,d,2025-07-03T00:00,APPROVED
35,rana,2025-07-03T00:00,APPROVED
40,stagiare,2025-07-04T23:00,PENDING
41,stagiare,2025-07-06T00:00,PENDING
42,stagiare,2025-07-05T00:00,PENDING
43,stagiare,2025-07-03T00:00,PENDING
10036,stagiare,2025-07-02T00:00,APPROVED
20038,stagiare,2025-07-08T00:00,COMPLETED
20039,rana,2025-07-09T00:00,COMPLETED
20040,imen,2025-07-17T10:11:50.322510,COMPLETED
20042,stagiare,2025-07-18T09:59:17.107308,ARRIVED
20043,stagiare,2025-07-21T09:36:56.999656,PENDING
