ID;Visitor;Date;Time;Status
1;stagiare;2025-07-02;23:00;APPROVED
33;stagiare;2025-07-03;23:00;PENDING
34;d;2025-07-03;00:00;APPROVED
35;rana;2025-07-03;00:00;APPROVED
40;stagiare;2025-07-04;23:00;PENDING
41;stagiare;2025-07-06;00:00;PENDING
42;stagiare;2025-07-05;00:00;PENDING
43;stagiare;2025-07-03;00:00;PENDING
10036;stagiare;2025-07-02;00:00;APPROVED
20038;stagiare;2025-07-08;00:00;COMPLETED
20039;rana;2025-07-09;00:00;COMPLETED
20040;imen;2025-07-17;10:11;COMPLETED
20042;stagiare;2025-07-18;09:59;ARRIVED
20043;stagiare;2025-07-21;09:36;COMPLETED
